Nr;Text_vorher;UNG.NOM;Text_danach;Dateiname;Textsorte;Periode;Sprachraum;Jahr;Jahrzehnt;Titelstichwort;Erstglied;Lemma;Adj;mit_adj_Mod;Det;als_praep_Kompl;Praeposition;Material_zwischen_Prep_und_Nom;NOM_V;FVG;Genitiv;Zweitglied;Numerus;Simplexbasis;Fremdwortbasis;ig;Hapax_Legomenon;Anmerkungen;Majuskel;ierung;Kompositum;Praefix;Anzahl_Praefixe;Praefix_Kombi;Basisverb;Basisverb_alternativ;PREP_DET_NOM;Syntagma
22; ab dich laenger noch umsonst zu quaelen/ da alle ;hoffnung; aus. Du sahst hierin nebst mir/ Wie HymensTempel ;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Hoffnung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
23;eilet/ den Orfeus/ deinen Bruder/ zu besuchen/ in ;meinung;/ eh sie sich noch auf die rey√ü gewagt/ schon wie;DRAM_P1_NoD_1699_EuridiceRAW.txt;DRAM;P1;NoD;1699;1695;EuridiceRAW.txt;NA;Meinung;NA;NEIN;KEIN;JA;in;KEIN;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;NEIN;NO;NA;NA;NA;NA;meinen;NA;NEIN;NEIN
24;                                      Ôªø  Erster ;Handlung;. Erster Auftritt. Ein Wald. Aspasia, Pericles. As;DRAM_P1_NoD_1700_FreyheitRAW.txt;DRAM;P1;NoD;1700;1705;FreyheitRAW.txt;NA;Handlung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
25;elffreich zu erweisen/ und Zephir wird dir suesse ;Kuehlung; geben: Ich will indessen eilen/ ob ich den unbeka;DRAM_P1_NoD_1700_FreyheitRAW.txt;DRAM;P1;NoD;1700;1705;FreyheitRAW.txt;NA;K¸hlung;s¸ﬂ;JA;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;kuehlen;NA;NEIN;NEIN
27;en Bruecke bevor der Koenig wird zuruecke von der ;Belagrung; kommen/ Timea wart dir zu gefallen/ Alcib. Timea ;DRAM_P1_NoD_1700_FreyheitRAW.txt;DRAM;P1;NoD;1700;1705;FreyheitRAW.txt;NA;Belagerung;NA;NEIN;b;NEIN;von;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;be;NA;NA;belagern;NA;NEIN;NEIN
28; Stamme nicht deine fremde Liebes-Flamme/ nur zur ;Verkleinerung; gereichen! Erkauffstu denn um Schatten-gleiche Lu;DRAM_P1_NoD_1700_FreyheitRAW.txt;DRAM;P1;NoD;1700;1705;FreyheitRAW.txt;NA;Verkleinerung;NA;NEIN;b;NEIN;zu;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;verkleinern;NA;NEIN;NEIN
29;nen Dienst sol leben/ wird meinen Unglueck grosse ;Lindrung; geben. In Hofs Dienst zu leben/ besweret Nacht un;DRAM_P1_NoD_1700_FreyheitRAW.txt;DRAM;P1;NoD;1700;1705;FreyheitRAW.txt;NA;Linderung;groﬂ;JA;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;JA;NA;NA;NA;lindern;NA;NEIN;JA
30;tummeste? was hat den deinen Muht so schleunig in ;Verwirrung; bracht? Alcib. Die uebermaessige Lust hat mich so;DRAM_P1_NoD_1700_FreyheitRAW.txt;DRAM;P1;NoD;1700;1705;FreyheitRAW.txt;NA;Verwirrung;NA;NEIN;KEIN;NEIN;in;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;FVG;JA;NO;NA;ver;NA;NA;verwirren;NA;NEIN;NEIN
31;ü denn allezeit/ Mein Leben in Betruebni√ü stehn? ;Hoffnung; die mir offt gelogen/ schmeichelt nur mit leeren ;DRAM_P1_NoD_1700_FreyheitRAW.txt;DRAM;P1;NoD;1700;1705;FreyheitRAW.txt;NA;Hoffnung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
32; bist betrogen/ wenn du hoffst vergnuegt zu seyn. ;Hoffnung; &c. Funffzehender Auftritt. Timea, und Vorige. Ti;DRAM_P1_NoD_1700_FreyheitRAW.txt;DRAM;P1;NoD;1700;1705;FreyheitRAW.txt;NA;Hoffnung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
33;h/ auf kurtze Zeit verlassen. La√ü mich Schoenste ;Kuehlung; finden weil mein Entzueden/ von dir entsteht. Amo;DRAM_P1_NoD_1700_FreyheitRAW.txt;DRAM;P1;NoD;1700;1705;FreyheitRAW.txt;NA;K¸hlung;schˆn;JA;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;kuehlen;NA;NEIN;NEIN
34;                                Ôªø  Die Fuenffte ;Abhandelung;. Viren. Lysander. Olympie. So ists! er lie√ü mich;DRAM_P1_OMD_1657_CardenioRAW.txt;DRAM;P1;OMD;1657;1655;CardenioRAW.txt;NA;Abhandlung;Zahlwort;JA;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ab;NA;NA;abhandeln;NA;NEIN;NEIN
35;" zu rechen!  Indem er gleich von hier; wie du mir ";Zeitung; bracht  Mein Bruder/ reisen wil/ vnd noch vor die;DRAM_P1_OMD_1657_CardenioRAW.txt;DRAM;P1;OMD;1657;1655;CardenioRAW.txt;NA;Zeitung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;NA;NA;NEIN;NEIN
36; sie beschweren/  Indem mein zagend Geist von jhr ;Vergebung; sucht. Olymp. Mein Herr er suche nichts/ als vnbe;DRAM_P1_OMD_1657_CardenioRAW.txt;DRAM;P1;OMD;1657;1655;CardenioRAW.txt;NA;Vergebung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;vergeben;NA;NEIN;NEIN
37;gruenen Schlangen/  Da√ü/ eh' ich mich versan die ;Kleidung; von sich ri√ü  Vnd Sehn vnd Pfeil ergrieff/ als m;DRAM_P1_OMD_1657_CardenioRAW.txt;DRAM;P1;OMD;1657;1655;CardenioRAW.txt;NA;Kleidung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;kleiden;NA;NEIN;NEIN
38;ffen Grab entdeckt  Als ich nach diesem gieng/ in ;Meinung;/ sie zu finden!  Traff ich in dieser Hoel (O frem;DRAM_P1_OMD_1657_CardenioRAW.txt;DRAM;P1;OMD;1657;1655;CardenioRAW.txt;NA;Meinung;NA;NEIN;KEIN;JA;in;KEIN;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;meinen;NA;NEIN;NEIN
39;t betrat)  Mit schier erstarrter Stimm vmb Lebens ;Rettung; bat.  Ich starrt vnd zweiffelt/ ob der Himmel mei;DRAM_P1_OMD_1657_CardenioRAW.txt;DRAM;P1;OMD;1657;1655;CardenioRAW.txt;Lebens;Rettung;NA;NEIN;KEIN;NEIN;um;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;retten;NA;NEIN;NEIN
40;                                   Ôªø  Di dritte ;Abhandlung;. Der Schauplatz stellet vor eine Koenigliche Todt;DRAM_P1_OMD_1661_CleopatraRAW.txt;DRAM;P1;OMD;1661;1665;CleopatraRAW.txt;NA;Abhandlung;Zahlwort;JA;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ab;NA;NA;abhandeln;NA;NEIN;NEIN
41;"flicht;  Nicht fuerchte: da√ü allhier die Wuermer ";Nahrung; zihen.  Au√ü dieser Grufft solln mir di Wolfahrts;DRAM_P1_OMD_1661_CleopatraRAW.txt;DRAM;P1;OMD;1661;1665;CleopatraRAW.txt;NA;Nahrung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;naehren;nahren;NEIN;NEIN
43;cken. Iras. Der Himmel wolle mehr uns Huelff' als ;Hofnung; schicken. Der Schauplatz verwandelt sich in des A;DRAM_P1_OMD_1661_CleopatraRAW.txt;DRAM;P1;OMD;1661;1665;CleopatraRAW.txt;NA;Hoffnung;NA;NEIN;KEIN;NEIN;als;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;hoffen;NA;NEIN;NEIN
44;                                        ÔªøErster ;Handlung; Erster Aufftrit. Roderigo, Leonisse. Rod. ES ist ;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Handlung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
45;"chheit entstanden waere; allein/ ich hoere solche ";Zeitung;/ darueber ich vor Angst zerspringen moechte: ach ;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Zeitung;NA;NEIN;s;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;NA;NA;NEIN;NEIN
46;ls anschauen muesse. Rod. Wie hat doch die eitele ;Einbildung; so eine maechtige Operation, da√ü man dem Tode en;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Einbildung;eitel;JA;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ein;NA;NA;einbilden;NA;NEIN;NEIN
47;/ das Volck werde sich ins kuenfftige mit solchen ;Versprechungen; nicht abweisen lassen. Es ist wahr/ wir haben uns;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Versprechung;liebreich;JA;s;NEIN;mit;NA;NA;NA;KEIN;NA;PL;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;versprechen;NA;NEIN;NEIN
48;) Doch was bringet unser Marckt-Hauptmann? Erster ;Handlung; Anderer Aufftrit. Roderigo, Anaclerio. Anacl. Jhr;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Handlung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
50;etten stehen allenthalben in lichter Flammen/ die ;Rechnungen; werden zurissen/ und wo ein Hauffen Buerger beysa;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Rechnung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;PL;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;rechnen;NA;NEIN;NEIN
51;uffen Buerger beysammen stehen/ so ist dieses die ;Losung;: GOtt gebe dem Koenige in Spanien langes Leben/ u;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Losung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;JA;NA;NA;NA;losen;NA;NEIN;JA
52;eglichen Dienstbarkeit befreyen. Rod. Eine eitele ;Vergleichung;/ davor sein bo√ühafftiger Hals an dem Galgen sol ;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Vergleichung;eitel;JA;u;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;vergleichen;NA;NEIN;NEIN
53;ecket wird. Rod. Unsre Mu√üqvetirer sollen dieser ;Entzueckung; gar bald abhelffliche Masse geben. Anacl. Die Geg;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Entz¸ckung;NA;NEIN;DEM;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ent;NA;NA;entzuecken;NA;NEIN;NEIN
54;ung gar bald abhelffliche Masse geben. Anacl. Die ;Gegenverfassung; wird sehr geschwinde von noethen seyn/ weil die R;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;Gegen;Verfassung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;verfassen;NA;NEIN;NEIN
55;ueste. Anacl. Jch bin gehorsam. (Geht ab.) Erster ;Handlung; Dritter Aufftrit. Rod. Rod. So mu√ü eine Regiment;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Handlung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
56;s verspielet: die guten Worte und die liebreichen ;Versprechungen; sind bey mir zu gewisser Zeit gar wohlfeil. Ferr.;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Versprechung;NA;NEIN;KEIN;NEIN;NA;NA;NA;NA;KEIN;NA;PL;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;versprechen;NA;NEIN;NEIN
57;andhafftig ist/ der bringet den Feind erstlich in ;Verwunderung;/ hernach in einen Zweifel/ endlich in eine Furcht;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Verwunderung;NA;NEIN;KEIN;NEIN;in;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;FVG;JA;NO;NA;ver;NA;NA;verwundern;NA;NEIN;NEIN
58;echte solches wol zu entschuldigen seyn. Rod. Die ;Anordnung; ist allbereit gemacht: wir wollen sehen/ da√ü die;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Anordnung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;an;NA;NA;anordnen;NA;NEIN;NEIN
59;leichsam zu einem Opffer entgegen fuehren. Erster ;Handlung; Vierdter Aufftrit. Allegro, Roccella, Torrecuso. ;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Handlung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
60; hinein/ und bleibt auf der Seite stehen.) Erster ;Handlung; Fuenffter Auftrit. Celinde und die Vorigen. Cel. ;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Handlung;NA;NEIN;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;handeln;NA;NEIN;NEIN
61;ren die Zeiten glueckseliger/ so wuerde mir diese ;Begleitung; auch etwas annehmlicher seyn. Rocc. Meine Gebiete;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Begleitung;NA;NEIN;DEM;NEIN;NA;NA;NA;NA;KEIN;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;be;NA;NA;begleiten;NA;NEIN;NEIN
62;" beywohnende Autoritaet beschuaetzen; Aber unsere ";Vergnuegung; soll ‚Äì ‚Äì ‚Äì ach! darff ich so kuehne seyn di;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Vergn¸gung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;vergnuegen;NA;NEIN;NEIN
63; Cel. Jch wei√ü seine Gedancken/ er meinet unsere ;Vergnuegung; soll hiuter einem starcken Walle sicher bleiben. ;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Vergn¸gung;NA;NEIN;s;NEIN;NA;NA;NA;NA;prenom;NA;SG;NEIN;NEIN;NEIN;NEIN;NA;JA;NO;NA;ver;NA;NA;vergnuegen;NA;NEIN;NEIN
64;bald gesagt/ das Gesetze der Liebe mu√ü die beste ;Wirckung; haben. Cel. Nicht zu kuehne/ mein Hertzog/ denn d;DRAM_P1_OMD_1683_MasanielloRAW.txt;DRAM;P1;OMD;1683;1685;MasanielloRAW.txt;NA;Wirkung;beste;JA;b;NEIN;NA;NA;NA;NA;KEIN;NA;SG;JA;NEIN;NEIN;NEIN;NA;JA;NO;NA;NA;NA;NA;wirken;NA;NEIN;NEIN
