Nummer;Text_vorher;NOM;Text_danach;Dateiname;Textsorte;Periode;Sprachraum;Jahr;Jahrzehnt;Periode_dreissig;Erstglied;Lemma;Nicht-native_Basis;Hapax_Legomenon;Simplexbasis;Majuskel;Adj;mit_ADJ;Prep_NOM;Genitiv;NOM_V;Prep;Det;Numerus;Anmerkung;Praefix
18490;s Frevels, als auch alle eingeklagte Schulden auf ;Anruffen; der Glaubigeren bezahlen. Wann hingegen       Art;LEGA_P3_WOD_1769_ZunftOrdnungenRAW.txt;LEGA;P3;WOD;1769;1765;1740-1770;NA;Anrufen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;an
15933;: Denn indem ihm sein Koenig auff sein bittliches ;Ansuchen; zwey tausend Frey-Reuter untergeben/ damit dem Fe;NARR_P1_OMD_1700_BaniseRAW.txt;NARR;P1;OMD;1700;1705;1680-1710;NA;Ansuchen;NEIN;NEIN;NEIN;JA;bittlich;JA;JA;PRENOM;NEIN;auf;s;SG;NA;an
3828;wuerde/ in solchem Fall soll auf ihr gebuehrendes ;Ansuchen;/ ihnen zu ihren verdienten Lohn mit Nachdruck geh;LEGA_P1_OOD_1700_GesetzNuernbergRAW.txt;LEGA;P1;OOD;1700;1705;1680-1710;NA;Ansuchen;NEIN;NEIN;NEIN;JA;gebührend;JA;JA;PRENOM;NEIN;auf;s;SG;NA;an
12287;. Granadier-Hauptmann Scherhartin wurden auf sein ;Ansuchen; abermal 40. Mann zu Fuß gegeben/ mit welchen er w;journal_frankfurt_1701_fin.txt;NEWS;P2;WMD;1701;1705;1680-1710;NA;Ansuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;an
10614;yrol/ und der uebrigen Erblanden anbefohlen/ auff ;Ansuchen; offtermelten Consulen und Raethen/ ihnen allen Ob;LEGA_P2_OOD_1719_PrivilegienRAW.txt;LEGA;P2;OOD;1719;1715;1710-1740;NA;Ansuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;an
9208;ich, jedem verpflichteten Diener, auf geziemendes ;Ansuchen;", an die Hand zu gehen; So wuerde eines groben Und";HUMA_P2_OOD_1731_AntiquitaetenSchatzRAW.txt;HUMA;P2;OOD;1731;1735;1710-1740;NA;Ansuchen;NEIN;NEIN;NEIN;JA;geziemend;JA;JA;KEIN;NEIN;auf;KEIN;SG;NA;an
10852;tl. Heiligkeit Benedictus XIV. auf Jhrer Majestät ;Ansuchen; zu erst-gedachter Andacht eine besondere Bullam e;mercurius_graz_1744_fin.txt;NEWS;P2;OOD;1744;1745;1740-1770;NA;Ansuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;an
14717;ern es hat sodann der Richter auf des Producenten ;Ansuchen;, oder auch ex Officio, mit deren Abhoerung, so wi;LEGA_P3_OMD_1767_ProcessOrdnungRAW.txt;LEGA;P3;OMD;1767;1765;1740-1770;NA;Ansuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;an
14778; so sollen sie, auchnach eroefnetem Zeugniss, auf ;Ansuchen; der Parthey und nach vorhergehendem ueblichen Zeu;LEGA_P3_OMD_1767_ProcessOrdnungRAW.txt;LEGA;P3;OMD;1767;1765;1740-1770;NA;Ansuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;an
18458;siebenzigstens: Sollte ein Gesell oder Knecht auf ;Anstiften; eines anderen Meisters, da er ihme mehr Lohn vers;LEGA_P3_WOD_1769_ZunftOrdnungenRAW.txt;LEGA;P3;WOD;1769;1765;1740-1770;NA;Ansuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;an
18140;den, so muss derienige Theil, welcher es auf sein ;Ansuchen; veranlasst hat, das Original mit dem auf dem unte;LEGA_P3_WMD_1792_ReichshofrathRAW.txt;LEGA;P3;WMD;1792;1795;1770-1800;NA;Ansuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;an
14510;dung.] Von der hiesigen Königl. Regierung ist auf ;Ansuchen; der zu Golchen im Amte Clemzenow sich aufhaltende;koeniglich_stettinische_1796_fin.txt;NEWS;P3;NoD;1796;1795;1770-1800;NA;Ansuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;an
13961;n gewählt worden. Gestern erhielt Sieyes auf sein ;Ansuchen; im Rath der 500 einen Urlaub auf 3 Dekaden. - Heu;Danziger_1798_fin.txt;NEWS;P3;NoD;1798;1795;1770-1800;NA;Ansuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;an
16833;da ihr euch entschlossen/ auf unsers herr vattern ;begehren;/ euer reich zu verlassen/und hieher zu kommen. De;NARR_P1_OOD_1669_AramenaRAW.txt;NARR;P1;OOD;1669;1665;1650-1680;NA;Begehren;NEIN;NEIN;NEIN;NEIN;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;be
3986;t kennet/ das gebe euch GOtt auff euer Suchen und ;Begehren;.       Das Siebenzehende Capitel.       Alle Alam;HUMA_P1_WMD_1692_ChristusRAW.txt;HUMA;P1;WMD;1692;1695;1680-1710;NA;Begehren;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;be
1039;gers Vngehorsamb beschuldigen/ und soll auff sein ;Begehren; von der Ladung mit Erstattung auffgangener Koeste;LEGA_P1_NoD_1695_DuesseldorffRAW.txt;LEGA;P1;NoD;1695;1695;1680-1710;NA;Begehren;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;be
5032;alsdann obberuehrte Geschworne/ auff Erfodern und ;Begehren; des Urbuerers/ bey ihren Eyden und Pflichten oeff;LEGA_P1_WMD_1698_BergkRechtRAW.txt;LEGA;P1;WMD;1698;1695;1680-1710;NA;Begehren;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;be
8685;"ng zum Argen möglichst zu verwahren; auf öffteres ";Begehren; vornehmer Gönner ausgefertiget, und mit einer Anw;leipziger_1722_1_fin.txt;NEWS;P2;OMD;1722;1725;1710-1740;NA;Begehren;NEIN;NEIN;NEIN;JA;oft;JA;JA;KEIN;NEIN;auf;KEIN;SG;NA;be
9242;gen wuerde, haben sie demselben, auf iedesmaliges ;Begehren;, gleich bald mit der Revision an Handen zu gehen.;LEGA_P2_OMD_1723_JurisMilitarisRAW.txt;LEGA;P2;OMD;1723;1725;1710-1740;NA;Begehren;NEIN;NEIN;NEIN;JA;jedesmalig;JA;JA;KEIN;NEIN;auf;KEIN;SG;NA;be
9336;n, dass die zu Pferd auf des Kriegs-Commissariats ;Begehren; die Pferde absatteln, und alle Leibs- und Pferd-M;LEGA_P2_OMD_1723_JurisMilitarisRAW.txt;LEGA;P2;OMD;1723;1725;1710-1740;NA;Begehren;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;be
21024; so wohl aus meinem eigenen Antriebe, sondern auf ;Begehren; meiner Mutter, welche eines vornehmen Rechts-Gele;NARR_P2_OMD_1731_SeefahrerRAW.txt;NARR;P2;OMD;1731;1735;1710-1740;NA;Begehren;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;be
11850;er Kirchen ohne Vorwurff seyn moege. Ich habe auf ;Begehren; meine Meynung ueber die Sache/ jedoch mit Fleiss/;LEGA_P2_WMD_1733_HeyrathenRAW.txt;LEGA;P2;WMD;1733;1735;1710-1740;NA;Begehren;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;auf;KEIN;SG;NA;be
23762; gnaedigen Herrn vollzogen wurde. Als wir nun auf ;Begehren; unsers Regenten uns saemtlich in einem gewissen G;NARR_P2_WMD_1750_TeutscheRAW.txt;NARR;P2;WMD;1750;1755;1740-1770;NA;Begehren;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;be
16195;la alldort nicht nur vorzulegen, sondern auch auf ;Begehren;, durch muendlich oder schrifftliche Relation von ;LEGA_P3_OOD_1750_HofRathsOrdnungRAW.txt;LEGA;P3;OOD;1750;1755;1740-1770;NA;Begehren;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;auf;KEIN;SG;NA;be
23059;eyhet mir mein Printz dass ich auf euer klagendes ;Bitten; nicht gehoerige Antwort geben kan/ weil die Zeit ;NARR_P2_WMD_1716_FleurieRAW.txt;NARR;P2;WMD;1716;1715;1710-1740;NA;Bitten;NEIN;NEIN;JA;JA;klagend;JA;JA;PRENOM;NEIN;auf;s;SG;NA;NA
11300;ro Königl. Majest. auff erwehntes Herrn Cardinals ;Einrahten; ihre Trouppen aus diesen Landen hinaus und nach S;europaeische_hanau_1701_1_fin.txt;NEWS;P2;WMD;1701;1705;1680-1710;NA;Einraten;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;ein
10128;Inquisitinen bey:       1.) Dass die Tochter/ auf ;Einrathen; gewissen Person/ etwas zu Procurirung des Abortus;LEGA_P2_OOD_1709_PromptuariiRAW.txt;LEGA;P2;OOD;1709;1705;1680-1710;NA;Einraten;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;ein
21016;ermuedeten Fleisse so viel wuerckte, dass ich auf ;Einrathen; vieler erfahrner Maenner, die mich examinirt hatt;NARR_P2_OMD_1731_SeefahrerRAW.txt;NARR;P2;OMD;1731;1735;1710-1740;NA;Einraten;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;ein
5031;d/ so sollen alsdann obberuehrte Geschworne/ auff ;Erfodern; und Begehren des Urbuerers/ bey ihren Eyden und P;LEGA_P1_WMD_1698_BergkRechtRAW.txt;LEGA;P1;WMD;1698;1695;1680-1710;NA;Erfordern;NEIN;JA;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;er
1239;hen/ zu bitten/ wie er dan auch auff dessen nicht ;Erscheinen;/ davon mit rechtlicher erkaentnuss absolvirt werd;LEGA_P1_NoD_1695_DuesseldorffRAW.txt;LEGA;P1;NoD;1695;1695;1680-1710;NA;Erscheinen;NEIN;JA;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;er
6875;n/ und befehlen Wir/ dass wann ein Untergang auff ;Ersuchen; beeder Partheyen ins Feld fuerohin gefuehret wird;LEGA_P1_WOD_1698_LandsOrdnungRAW.txt;LEGA;P1;WOD;1698;1695;1680-1710;NA;Ersuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;er
16179;onst Einhalt erzeigen, sondern vilmehr selbst auf ;Ersuchen; die Execution befoerdern helffen.       Wo sich a;LEGA_P3_OOD_1750_HofRathsOrdnungRAW.txt;LEGA;P3;OOD;1750;1755;1740-1770;NA;Ersuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;auf;KEIN;SG;NA;er
19491;erner also: Auff des ein und andern vielfaeltiges ;Fragen;"; Ob der Comet auch Krieg bedeute? eine Christmaes";SCIE_P1_NoD_1672_PrognosticisRAW.txt;SCIE;P1;NoD;1672;1675;1650-1680;NA;Fragen;NEIN;NEIN;JA;JA;vielfältig;JA;JA;PRENOM;NEIN;auf;s;SG;NA;NA
5580;rtheilte/ und die Straff auf erfolgendes weiteres ;Lesen; der Heydnischen Buecher ausssezte. Ich/ der dich ;HUMA_P1_WOD_1698_MythoscopiaRAW.txt;HUMA;P1;WOD;1698;1695;1680-1710;NA;Lesen;NEIN;NEIN;JA;JA;weiter;JA;JA;POSTNOM;NEIN;auf;KEIN;SG;NA;NA
13214; den Flammen seinen Geist aufgeben. Auf fleißiges ;Nachsuchen; fande man ihre Leiber unter dem Schutt wieder, we;loerrach_1749_1_fin.txt;NEWS;P2;WOD;1749;1745;1740-1770;NA;Nachsuchen;NEIN;NEIN;NEIN;JA;fleißig;JA;JA;KEIN;NEIN;auf;KEIN;SG;NA;nach
8693; auf etlicher wohlgesinnter und sorgfaeltiger des Vaterlandes wahre Ehr und Hey liebender Gesandten/ oder deren hohen Herren Principalen treumeynender Anrath- und ;Verlangen; diese Materie samt denen Schreiben Ihrer Churfuer;LEGA_P2_OMD_1710_ReichsArchivRAW.txt;LEGA;P2;OMD;1710;1715;1710-1740;NA;Verlangen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;ver
12689; zu stellen/ damit im Fall der Noth/ Podolien auf ;Verlangen;/ mit Trouppen secundirt werden mögten. Lissabon/ ;augspurgische_ordinari_1723_1_fin.txt;NEWS;P2;WOD;1723;1725;1710-1740;NA;Verlangen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;auf;KEIN;SG;NA;ver
18082;hem Jahre, zu welcher Stunde, auf welches Agenten ;Verlangen;, in was fuer einer Sache, welcher Person, ob sie ;LEGA_P3_WMD_1792_ReichshofrathRAW.txt;LEGA;P3;WMD;1792;1795;1770-1800;NA;Verlangen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;auf;s;SG;NA;ver
7663;n gewuenschet, mein Verwandter zu werden. Und auf ;Vernehmen;, dass ich eine Schwester haette, hat er sich ents;DRAM_P2_WMD_1742_BookesbeutelRAW.txt;DRAM;P2;WMD;1742;1745;1740-1770;NA;Vernehmen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;auf;KEIN;SG;NA;ver
7743;"ige Freund- und Bruederschaft geschworen; und auf ";Vernehmen;, dass ich eine Schwester hatte, pflegte er so woh;DRAM_P2_WMD_1742_BookesbeutelRAW.txt;DRAM;P2;WMD;1742;1745;1740-1770;NA;Vernehmen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;auf;KEIN;SG;NA;ver
9763;der Vergunst sich zu halten/ zu ermahnen/ und auf ;Widersetzen; ihnen das frische Gut mit der That hinwegnehmen z;LEGA_P2_OOD_1704_OrdnungNuernbergRAW.txt;LEGA;P2;OOD;1704;1705;1680-1710;NA;Widersetzen;NEIN;JA;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;auf;KEIN;SG;NA;wider
16586;      In Ertheilung des Schirms-Vogtey-Rechts auf ;Wohlgefallen; wird dieses vor einen Grund-Satz gehalten, dass s;LEGA_P3_OOD_1752_GerichtbarkeitRAW.txt;LEGA;P3;OOD;1752;1755;1740-1770;NA;Wohlgefallen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;auf;KEIN;SG;NA;NA
40136;er jenige/ den uns unser Vatter aus Vaetterlichem ;erbarmen; entgegen schickt/ dass er uns in den Port einfueh;SERM_P1_WMD_1674_TrostRAW.txt;SERM;P1;WMD;1674;1675;1650-1680;NA;Erbarmen;NEIN;NEIN;NEIN;NEIN;väterlich;JA;JA;KEIN;NEIN;aus;KEIN;SG;NA;er
8050; als wem es aus Kayserlicher Gnade und der Stände ;Gutbefinden; erlaubet ist. NB. Auf dem Kupfer ist die förderst;historische_remarques_hamburg_1702_fin.txt;NEWS;P2;NoD;1702;1705;1680-1710;NA;Gutbefinden;NEIN;JA;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;aus;s;SG;NA;gut
3789;eren/ sich auch gegen den Armen/ aus Christlichem ;Mitleiden;/ dermassen erzeigen/ dass sich mit Fug niemand zu;LEGA_P1_OOD_1700_GesetzNuernbergRAW.txt;LEGA;P1;OOD;1700;1705;1680-1710;NA;Mitleiden;NEIN;NEIN;NEIN;JA;christlich;JA;JA;KEIN;NEIN;aus;KEIN;SG;NA;mit
14745;e, (auf welche ohnedem, wenn schon die Zeugen aus ;Versehen; darueber verhoeret worden, bey dem Erkaenntnis ni;LEGA_P3_OMD_1767_ProcessOrdnungRAW.txt;LEGA;P3;OMD;1767;1765;1740-1770;NA;Versehen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;aus;KEIN;SG;NA;ver
15084;fuegt schliessen, damit wenn einiges Getreyde aus ;Versehen; verschuettet wird, der Mahlgast sein Getreyde und;LEGA_P3_OMD_1777_MuehlenOrdnungRAW.txt;LEGA;P3;OMD;1777;1775;1770-1800;NA;Versehen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;aus;KEIN;SG;NA;ver
277;lten einen andern vnser Buerger aus rechtmessigen ;vordencken; Todtschlags halber beschueldigen/ Kan der Beschue;LEGA_P1_NoD_1657_LuebeckRAW.txt;LEGA;P1;NoD;1657;1655;1650-1680;NA;Vordenken;NEIN;JA;NEIN;NEIN;rechtmäßig;JA;JA;KEIN;NEIN;aus;KEIN;SG;NA;vor
30363; mir gefordert/ dazu auch Zeit bey ungekraenckten ;Auskommen; und der noethige Apparat von Buechern gegeben wue;SCIE_P2_WOD_1720_FangSchlaeussenRAW.txt;SCIE;P2;WOD;1720;1725;1710-1740;NA;Auskommen;NEIN;JA;NEIN;JA;ungekränkt;JA;JA;KEIN;NEIN;bei;KEIN;SG;NA;aus
3164;es Gewitter entstanden/ dergleichen/ bey Menschen-;Gedencken;/nicht erhoert worden. Ein Sturmwind/ oder viemehr;HUMA_P1_OOD_1690_ProteusRAW.txt;HUMA;P1;OOD;1690;1695;1680-1710;Menschen;Gedenken;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;bei;KEIN;SG;NA;ge
9668;r Stadt Meissen begeben habe, und noch bey Mannes-;Gedencken;: Wie etliche Becken-Knechte am andern Tage des He;HUMA_P2_WMD_1737_CuriositaetenRAW.txt;HUMA;P2;WMD;1737;1735;1710-1740;Mannes;Gedenken;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;bei;KEIN;SG;NA;ge
9537;u faellen suchet, wie an einem Exempel bey meinem ;Gedencken; geschehen, dass Kinder miteinander gespielet, und;HUMA_P2_WMD_1737_CuriositaetenRAW.txt;HUMA;P2;WMD;1737;1735;1710-1740;NA;Gedenken;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;PRENOM;NEIN;bei;s;SG;NA;ge
11773;se Flotte so grosse Reichthümer, als bey Menschen-;Gedencken; in Europa angekommen sind, an Bord habe. Der Span;freytaegige_franckfurt_1750_fin.txt;NEWS;P2;WMD;1750;1755;1740-1770;Menschen;Gedenken;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;KEIN;NEIN;bei;KEIN;SG;NA;ge
42331;pfahen sollen/ wie sie gehandelt haben bey Leibes ;Leben;/ 2. Cor. 5/ 10. 2. Thess. 1/ 6. Diesemnach soll D;SERM_P2_NoD_1715_SeeligkeitRAW.txt;SERM;P2;NoD;1715;1715;1710-1740;NA;Leben;NEIN;NEIN;JA;JA;NA;NEIN;JA;PRENOM;NEIN;bei;KEIN;SG;NA;NA
45972; zum Besten des Volcks. Was der Fuerst bey Leibes-;Leben; Gutes gehabt/ dass hat er all aus der Hand des gr;SERM_P2_WMD_1743_TrostPredigtRAW.txt;SERM;P2;WMD;1743;1745;1740-1770;Leibes;Leben;NEIN;NEIN;JA;JA;NA;NEIN;JA;KEIN;NEIN;bei;KEIN;SG;NA;NA
16173;mmener Ordnung fechten/ als auch bey beobachtetem ;Vorhaben; des Feindes ohne Unordnung getrennet/ und veraend;NARR_P1_OMD_1700_BaniseRAW.txt;NARR;P1;OMD;1700;1705;1680-1710;NA;Vorhaben;NEIN;NEIN;NEIN;JA;beobachtet;JA;JA;KEIN;NEIN;bei;KEIN;SG;NA;vor
4506;en/ selbiger hat sich vernehmen lassen/ daß durch ;Ansuchen; und Mediation der Cronen Schweden und Dännemarck ;coellnische_ordinari_1699_fin.txt;NEWS;P1;WMD;1699;1695;1680-1710;NA;Ansuchen;NEIN;NEIN;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;durch;KEIN;SG;NA;an
17008;ders dahin, als durch Extravasate, entweder durch ;Ausschwitzen; oder Zerreissen der Gefäße Das Einsaugungsgeschäf;erlangische_gelehrte_1790_fin.txt;NEWS;P3;OOD;1790;1795;1770-1800;NA;Ausschwitzen;NEIN;JA;NEIN;JA;NA;NEIN;JA;POSTNOM;NEIN;durch;KEIN;SG;NA;aus
17912;in die See gehe/ und sich daselbst durch oeffters ;Baden; in einen Fisch verwandele/ welches man auch von e;NARR_P1_WMD_1696_DerEdelmannRAW.txt;NARR;P1;WMD;1696;1695;1680-1710;NA;Baden;NEIN;NEIN;JA;JA;oft;JA;JA;KEIN;NEIN;durch;KEIN;SG;NA;NA
18399;anu. Gegenwärtig ist es ihm durch sein äusserstes ;Bestreben; gelungen, daß er dies sein Jnstitut auf den höchs;mannheimer_1784_fin.txt;NEWS;P3;WMD;1784;1785;1770-1800;NA;Bestreben;NEIN;NEIN;NEIN;JA;äußerst;JA;JA;PRENOM;NEIN;durch;s;SG;NA;be
7611;Gemuethe verborgen, ohne sich durch aeusserliches ;Bezeugen;" sonderlich an den Tag zu geben; so pflegen wir di";HUMA_P2_OMD_1725_HassRAW.txt;HUMA;P2;OMD;1725;1725;1710-1740;NA;Bezeugen;NEIN;NEIN;NEIN;JA;äußerlich;JA;NEIN;KEIN;NEIN;durch;KEIN;SG;NA;be
24358;    Das Alter ohne Verstand wird durch kindisches ;Bezeugen; veraechtlich.       EIn alter Geissbock hatte ein;NARR_P2_WOD_1744_FabelnRAW.txt;NARR;P2;WOD;1744;1745;1740-1770;NA;Bezeugen;NEIN;NEIN;NEIN;JA;kindisch;JA;NEIN;KEIN;NEIN;durch;KEIN;SG;NA;be
22402;/ woferne ihn Molkowitz nicht durch innstaendiges ;Bitten; davon abgerathen. Auf solche Weise behielte der G;NARR_P2_OOD_1715_HeldenGeschichteRAW.txt;NARR;P2;OOD;1715;1715;1710-1740;NA;Bitten;NEIN;NEIN;JA;JA;inständig;JA;JA;KEIN;NEIN;durch;KEIN;SG;NA;NA
10286;ine Batterie verfertiget, und durch canoniren und ;bombardieren; alles zum Sturm bereit gemacht, welcher auch den ;HUMA_P2_WMD_1748_SamuelRAW.txt;HUMA;P2;WMD;1748;1745;1740-1770;NA;Bombardieren;JA;JA;NA;NEIN;NA;NEIN;JA;KEIN;NEIN;durch;KEIN;SG;NA;NA
